Company Name,Price
Sasol Ltd. American Depositary Shares,197
Kayne Anderson Energy Development Company Common Stock,442
Scorpio Tankers Inc. 6.75% Senior Notes due 2020,579
Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,715
Pacific Drilling S.A. Common Shares,627
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V. American Depositary Shares, each representing ten (10) Ordinary Participation Certificates",869
Drew Industries Incorporated Common Stock ($0.01 Par Value),991
Pennsylvania Real Estate Investment Trust Cumulative Redeemable Perpetual Preferred Shares Series B,181
Genworth Financial Inc Common Stock,862
Dominion Diamond Corporation Common Stock,348
Westwood Holdings Group Inc Common Stock,50
Protective Life Corporation PLC Capital Trust V Trust Originated Preferred Securities (TOPRS),30
Sprague Resources LP Common Units representing Limited Partner Interests,907
"Paycom Software, Inc. Common Stock",35
"Boston Properties, Inc. Common Stock",60
Brandywine Realty Tr Pfd Shs Ben Int Ser E,600
Deutsche High Income Trust Shares of Beneficial Interest,616
"PROS Holdings, Inc. Common Stock",569
"NextEra Energy, Inc. Series H Junior Subordinated Debentures due June 15, 2072",150
"Paramount Group, Inc. Common Stock",523
Cablevision Systems Corporation Class A Common Stock,571
Wayfair Inc. Class A Common Stock,204
Intrexon Corporation Common Stock,430
"Carbo Ceramics, Inc. Common Stock",445
Ares Management L.P. Common Units representing Limited Partner Interests,214
"NQ Mobile Inc. American Depositary Shares, each representing five Class A common shares",994
"Plains Group Holdings, L.P. Class A Shares representing limited partner interests",275
"General American Investors, Inc. Common Stock",647
Korea Electric Power Corporation Common Stock,621
"Colony Financial, Inc Perp Pfd Ser B %",697
"Care.com, Inc. Common Stock",685
"Dillard's, Inc. Common Stock",691
Visa Inc.,655
PolyOne Corporation Common Stock,539
Arlington Asset Investment Corp 6.625% Notes due 2023,636
Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,543
Cabot Oil & Gas Corporation Common Stock,440
"UCP, Inc. Class A Common Stock",245
CTS Corporation Common Stock,380
"PerkinElmer, Inc. Common Stock",471
Assured Guaranty Ltd. Common Stock,334
Reed Elsevier NV PLC New ADS,327
Cigna Corporation Common Stock,500
Mastercard Incorporated Common Stock,586
"Gabelli Equity Trust, Inc. (The) Preferred Stock Series D",687
"Rackspace Hosting, Inc Common Stock",594
Konami Corporation American Depositary Shares (Each repstg one share of Common Stock),492
Cooper Tire & Rubber Company Common Stock,67
"NRG Energy, Inc. Common Stock",340
"MaxLinear, Inc Class A Common Stock",929
Chesapeake Utilities Corporation Common Stock,435
"Greif, Inc. Corporation Class B Common Stock",961
J P Morgan Chase & Co Depositary Shs Repstg 1/400 Pfd Ser P,737
ANN INC. Common Stock,171
Ares Multi,436
"MasTec, Inc. Common Stock",309
Sociedad Quimica y Minera S.A. Common Stock,363
Albemarle Corporation Common Stock,350
"Banco Santander, S.A. 6.50% Non",803
