stock,buy,sell,shares
Apple,272.8119,140.0605,13
Microsoft,250.4936,272.8012,43
Apple,278.0296,222.2659,33
Apple,188.4586,226.6871,61
Apple,163.3872,215.6852,12
Amazon,211.198,163.5716,42
Microsoft,286.6878,289.5988,14
Amazon,140.8674,178.468,70
Facebook,106.2806,230.1641,61
Google,291.4889,194.5435,73
Google,251.3359,184.0055,5
Facebook,120.7325,117.6524,63
Amazon,267.4527,225.557,55
Apple,278.5347,153.439,76
Google,204.6858,136.1829,35
Microsoft,290.2006,212.4922,75
Facebook,158.4975,262.9751,91
Microsoft,171.8036,149.9694,15
Microsoft,239.5511,295.1502,70
Facebook,239.2672,151.5137,100
Apple,283.2467,257.4991,68
Apple,266.5884,295.4488,62
Apple,193.1846,217.1718,12
Apple,108.3335,205.4513,58
Facebook,291.6882,100.3343,74
Microsoft,213.752,161.4993,23
Amazon,158.594,273.8032,79
Microsoft,212.1726,268.7879,85
Apple,103.111,154.5645,64
Apple,240.9088,120.3663,52
Apple,104.7504,224.9824,34
Apple,162.6384,199.1988,48
Apple,202.8373,229.7479,26
Microsoft,166.7134,172.8866,40
Apple,250.9078,262.2016,31
Facebook,112.1085,256.7536,97
Apple,201.9998,155.3844,90
Microsoft,171.0035,210.4388,71
Google,185.1876,277.7835,96
Microsoft,146.3626,171.3883,23
Facebook,290.2428,190.9768,16
Google,260.5444,179.1972,46
Google,124.997,139.5855,25
Apple,247.036,165.0032,99
Google,250.4252,211.5821,98
Microsoft,192.4771,251.9286,86
Amazon,133.3076,230.2843,83
Facebook,175.1774,296.5977,10
Amazon,271.6542,138.7577,21
Microsoft,260.9856,281.9747,95
Amazon,276.6937,208.466,69
Microsoft,123.9489,209.51,94
Google,217.9514,215.6471,20
Apple,140.4687,131.4287,51
Amazon,173.245,252.0277,14
Google,230.8265,272.7034,71
Microsoft,294.916,182.0312,20
Facebook,108.8009,115.1788,100
Facebook,152.4107,147.8248,26
Microsoft,246.0474,234.4406,85
Google,227.4526,150.3595,68
Microsoft,211.2525,121.5942,2
Google,171.2891,245.1515,24
Google,222.1272,234.4135,28
Google,196.3295,128.748,87
Facebook,190.325,167.4757,15
Microsoft,199.1186,253.3177,81
Apple,269.1354,270.4795,64
Microsoft,266.8506,290.7995,51
Microsoft,145.1582,123.778,31
Apple,229.3432,140.2808,47
Google,243.6561,217.0578,80
Facebook,137.0119,195.5253,66
Google,271.6456,157.077,23
Amazon,125.2761,276.723,10
Apple,233.6827,157.4197,2
Amazon,258.2209,235.3546,84
Amazon,143.1527,129.932,36
Apple,243.9825,290.4001,31
Facebook,283.1033,297.2742,97
Microsoft,283.1464,216.5691,52
Apple,117.6197,184.8171,81
Microsoft,167.8636,124.2469,27
Microsoft,153.0265,240.7044,92
Google,262.0439,126.0025,54
Amazon,132.0701,207.9129,82
Apple,292.4388,154.7188,11
Amazon,261.7312,252.6902,78
Apple,291.4543,189.7839,96
Apple,271.0368,128.9206,82
Google,280.7908,248.8542,67
Apple,230.6102,172.1049,84
Google,187.8409,145.2087,57
Apple,162.4991,217.8213,38
Apple,189.0357,234.5999,4
Google,145.685,290.9155,79
Facebook,242.6632,176.5155,43
Microsoft,204.7004,237.1919,22
Facebook,241.2231,154.0306,28
Apple,142.8812,297.689,91
Google,246.259,184.2515,26
Facebook,130.7154,223.3022,12
Facebook,288.5622,260.2254,73
Amazon,110.9838,106.8278,42
Amazon,140.0003,176.8443,28
Amazon,235.9221,293.5923,43
Facebook,283.0238,285.1189,4
Facebook,116.2066,271.0156,71
Apple,227.5277,178.9407,78
Facebook,211.1776,193.2574,14
Facebook,231.9658,226.7315,55
Amazon,217.554,168.8313,84
Microsoft,158.106,172.4878,74
Google,205.4539,229.3314,76
Facebook,233.609,122.525,82
Amazon,170.5376,268.6701,14
Facebook,158.4367,205.5014,10
Google,210.8255,137.5562,50
Apple,289.3977,249.6009,3
Facebook,258.8742,227.3072,88
Amazon,146.7267,287.2856,12
Microsoft,265.9874,194.1776,39
Google,251.1136,273.2508,42
Google,236.7819,185.413,47
Apple,273.1625,131.0988,44
Amazon,150.4943,153.8109,9
Amazon,215.2452,184.7135,45
Microsoft,228.9853,106.6725,10
