Company Name,Price
BlackRock Long,151
Nuveen New York Dividend Advantage Municipal Fund Common Stock,188
ChannelAdvisor Corporation Common Stock,71
Permian Basin Royalty Trust Common Stock,72
First Trust High Income Long Short Fund Common Shares of Beneficial Interest,128
Associated Banc,189
Harris Corporation Common Stock,137
Albany International Corporation Common Stock,46
Federated Premier Municipal Income Fund Federated Premier Municipal Income Fund,48
"Blackrock MuniYield California Fund, Inc. Common Stock",42
Cantel Medical Corp. Common Stock,103
Graco Inc. Common Stock,77
"CVR Refining, LP Common Units Representing Limited Partner Interests",123
"National Oilwell Varco, Inc. Common Stock",156
LATAM Airlines Group S.A.,105
PIMCO Dynamic Credit Income Fund Common Shares of Beneficial Interest,70
GP Strategies Corporation Common Stock,176
Entravision Communications Corporation Common Stock,75
Blackrock Muni New York Intermediate Duration Fund Inc Common Stock,185
Prospect Capital Corporation 6.95% Senior Notes due 2022,47
"Molycorp, Inc Common Stock",173
"Alexander's, Inc. Common Stock",184
Nuveen Massachusetts Premium Income Municipal Fund Common Stock,193
US Bancorp Del Dep Shs Repstg 1/1000th Perp Pfd Ser H,104
"Tremor Video, Inc. Common Stock",10
AEGON N.V. Common Stock,145
Dreyfus High Yield Strategies Fund Common Stock,59
Bill Barrett Corporation Common Stock,143
Inland Real Estate Corporation Common Stock,117
"AG Mortgage Investment Trust, Inc. Common Stock",93
"BPZ Resources, Inc Common Stock",170
"Banco Latinoamericano de Comercio Exterior, S.A.",97
EQT Corporation Common Stock,91
"M&T Bank Corporation Warrant (Expiring December 23, 2018)",121
Olin Corporation Common Stock,125
"Allergan, Inc. Common Stock",169
Alliance Data Systems Corporation Common Stock,23
Harsco Corporation Common Stock,39
RLI Corp. Common Stock,144
OFG Bancorp 7.125% Non,198
Raytheon Company Common Stock,136
"General Electric Company 4.875% Notes due October 15, 2052",68
Eagle Materials Inc Common Stock,7
"Boston Beer Company, Inc. (The) Common Stock",14
Steelcase Inc. Common Stock,171
"QEP Resources, Inc. Common Stock",154
Ball Corporation Common Stock,195
"Reinsurance Group of America, Incorporated 6.20% Fixed",199
Berkshire Hathaway Inc. New Common Stock,3
"Guidewire Software, Inc. Common Stock",60
BB&T Corporation Depositary Shares Representing 1/1000th Interest Series F Perpetual Preferred,178
PartnerRe Ltd. Preferred Series D 6.5% (Bermuda),142
Nationstar Mortgage Holdings Inc. Common Stock,62
"CYS Investments, Inc. Common Stock",58
Deltic Timber Corporation Common Stock,135
InterOil Corporation,83
"Superior Industries International, Inc. Common Stock",147
City National Corporation Depositary Shares Representing 1/40th Preferred Series D Fixed/Floating,120
"CoreLogic, Inc. Common Stock",162
New Media Investment Group Inc. Common Stock,140
AFLAC Incorporated Common Stock,94
"Entergy Mississippi, Inc. First Mortgage Bonds, 6.0% Series due May 1, 2051",33
"Dynegy Inc. Warrant expiring October 2, 2017",31
Xinyuan Real Estate Co Ltd American Depositary Shares,131
"Atlas Pipeline Partners, L.P. Common Units, No Par Value",38
"Apollo Commercial Real Estate Finance, Inc",67
"U.S. Bancorp Depositary Shares, Each representing a 1/100th interest in a share of Series A Non",16
"Neustar, Inc. Neustar, Inc. Class A Common Stock",27
ITT Corporation Common Stock New,127
Teekay LNG Partners L.P.,196
Synnex Corporation Common Stock,55
Bio,149
CareFusion Corporation Common Stock,69
Liberty All,99
Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,115
BlackRock Strategic Municipal Trust Inc. (The) Common Stock,49
"American Residential Properties, Inc. Common Stock",63
Hexcel Corporation Common Stock,12
"Tortoise Energy Independence Fund, Inc. Common Stock",164
"ARMOUR Residential REIT, Inc. Preferred Series B",119
"Flotek Industries, Inc. Common Stock",146
Korea Electric Power Corporation Common Stock,190
MFS Municipal Income Trust Common Stock,122
Diana Shipping inc. common stock,1
Mechel OAO American Depositary Shares (Each rep. 1 common shares),160
First Trust Dividend and Income Fund Common Shares of Beneficial Interest,64
"PNC Financial Services Group, Inc. (The) Depositary Shares Representing 1/4000th Perpetual Preferred Shares Series Q",37
Telefonica SA Common Stock,157
Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,130
"Solarwinds, Inc. Common Stock",96
"W.W. Grainger, Inc. Common Stock",86
Cato Corporation (The) Class A Common Stock,118
"XPO Logistics, Inc.",25
Adeptus Health Inc. Common Stock,113
Westwood Holdings Group Inc Common Stock,155
Timken Company (The) Common Stock,174
Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,126
Kimco Realty Corporation Depositary Shares Representing 1/1000th Preferred Series K,110
Teleflex Incorporated Common Stock,66
Newfield Exploration Company Common Stock,108
